"velocidad_m/min" "temperatura_gradosC"
0.25 15
0.75 14.9462365591398
1.25 14.8924731182796
1.75 14.8387096774194
2.25 14.7849462365591
2.75 14.7311827956989
3.25 14.6774193548387
3.75 14.6236559139785
4.25 14.5698924731183
4.75 14.5161290322581
5.25 14.4623655913978
5.75 14.4086021505376
6.25 14.3548387096774
6.75 14.3010752688172
7.25 14.247311827957
7.75 14.1935483870968
8.25 14.1397849462366
8.75 14.0860215053763
9.25 14.0322580645161
9.75 13.9784946236559
10.25 13.9247311827957
10.75 13.8709677419355
11.25 13.8172043010753
11.75 13.7634408602151
12.25 13.7096774193548
12.75 13.6559139784946
13.25 13.6021505376344
13.75 13.5483870967742
14.25 13.494623655914
14.75 13.4408602150538
15.25 13.3870967741935
15.75 13.3333333333333
16.25 13.2795698924731
16.75 13.2258064516129
17.25 13.1720430107527
17.75 13.1182795698925
18.25 13.0645161290323
18.75 13.010752688172
19.25 12.9569892473118
19.75 12.9032258064516
20.25 12.8494623655914
20.75 12.7956989247312
21.25 12.741935483871
21.75 12.6881720430108
22.25 12.6344086021505
22.75 12.5806451612903
23.25 12.5268817204301
23.75 12.4731182795699
24.25 12.4193548387097
24.75 12.3655913978495
25.25 12.3118279569892
25.75 12.258064516129
26.25 12.2043010752688
26.75 12.1505376344086
27.25 12.0967741935484
27.75 12.0430107526882
28.25 11.989247311828
28.75 11.9354838709677
29.25 11.8817204301075
29.75 11.8279569892473
30.25 11.7741935483871
30.75 11.7204301075269
31.25 11.6666666666667
31.75 11.6129032258065
32.25 11.5591397849462
32.75 11.505376344086
33.25 11.4516129032258
33.75 11.3978494623656
34.25 11.3440860215054
34.75 11.2903225806452
35.25 11.2365591397849
35.75 11.1827956989247
36.25 11.1290322580645
36.75 11.0752688172043
37.25 11.0215053763441
37.75 10.9677419354839
38.25 10.9139784946237
38.75 10.8602150537634
39.25 10.8064516129032
39.75 10.752688172043
40.25 10.6989247311828
40.75 10.6451612903226
41.25 10.5913978494624
41.75 10.5376344086022
42.25 10.4838709677419
42.75 10.4301075268817
43.25 10.3763440860215
43.75 10.3225806451613
44.25 10.2688172043011
44.75 10.2150537634409
45.25 10.1612903225806
45.75 10.1075268817204
46.25 10.0537634408602
46.75 10
