"velocidad_m/min" "peso gr"
0.25 11
0.75 10.989247311828
1.25 10.9784946236559
1.75 10.9677419354839
2.25 10.9569892473118
2.75 10.9462365591398
3.25 10.9354838709677
3.75 10.9247311827957
4.25 10.9139784946237
4.75 10.9032258064516
5.25 10.8924731182796
5.75 10.8817204301075
6.25 10.8709677419355
6.75 10.8602150537634
7.25 10.8494623655914
7.75 10.8387096774194
8.25 10.8279569892473
8.75 10.8172043010753
9.25 10.8064516129032
9.75 10.7956989247312
10.25 10.7849462365591
10.75 10.7741935483871
11.25 10.7634408602151
11.75 10.752688172043
12.25 10.741935483871
12.75 10.7311827956989
13.25 10.7204301075269
13.75 10.7096774193548
14.25 10.6989247311828
14.75 10.6881720430108
15.25 10.6774193548387
15.75 10.6666666666667
16.25 10.6559139784946
16.75 10.6451612903226
17.25 10.6344086021505
17.75 10.6236559139785
18.25 10.6129032258065
18.75 10.6021505376344
19.25 10.5913978494624
19.75 10.5806451612903
20.25 10.5698924731183
20.75 10.5591397849462
21.25 10.5483870967742
21.75 10.5376344086022
22.25 10.5268817204301
22.75 10.5161290322581
23.25 10.505376344086
23.75 10.494623655914
24.25 10.4838709677419
24.75 10.4731182795699
25.25 10.4623655913978
25.75 10.4516129032258
26.25 10.4408602150538
26.75 10.4301075268817
27.25 10.4193548387097
27.75 10.4086021505376
28.25 10.3978494623656
28.75 10.3870967741935
29.25 10.3763440860215
29.75 10.3655913978495
30.25 10.3548387096774
30.75 10.3440860215054
31.25 10.3333333333333
31.75 10.3225806451613
32.25 10.3118279569892
32.75 10.3010752688172
33.25 10.2903225806452
33.75 10.2795698924731
34.25 10.2688172043011
34.75 10.258064516129
35.25 10.247311827957
35.75 10.2365591397849
36.25 10.2258064516129
36.75 10.2150537634409
37.25 10.2043010752688
37.75 10.1935483870968
38.25 10.1827956989247
38.75 10.1720430107527
39.25 10.1612903225806
39.75 10.1505376344086
40.25 10.1397849462366
40.75 10.1290322580645
41.25 10.1182795698925
41.75 10.1075268817204
42.25 10.0967741935484
42.75 10.0860215053763
43.25 10.0752688172043
43.75 10.0645161290323
44.25 10.0537634408602
44.75 10.0430107526882
45.25 10.0322580645161
45.75 10.0215053763441
46.25 10.010752688172
46.75 10
